number_of_game,winner,cur_reward,avg100_reward,avgall_reward,epsilon
291,3,-750,1811.0,1729.109589041096,1
292,2,200,1751.5,1723.8907849829352,1
293,0,5800,1810.0,1737.7551020408164,1
294,1,850,1812.5,1734.7457627118645,1
295,1,650,1818.5,1731.081081081081,1
296,2,850,1826.0,1728.114478114478,1
297,1,500,1818.5,1723.993288590604,1
298,3,300,1813.0,1719.2307692307693,1
299,0,6600,1805.5,1735.5,1
300,1,750,1812.0,1732.2259136212624,1
301,2,400,1813.0,1727.8145695364237,1
302,2,250,1806.5,1722.9372937293729,1
303,0,6700,1867.0,1739.3092105263158,1
304,0,6800,1929.5,1755.9016393442623,1
305,1,150,1936.0,1750.6535947712418,1
306,1,1100,1954.0,1748.5342019543973,1
307,2,500,1955.0,1744.4805194805194,1
308,0,6800,2031.5,1760.8414239482202,1
309,2,1200,2040.5,1759.032258064516,1
310,0,7200,2107.0,1776.5273311897106,1
311,0,7200,2110.0,1793.9102564102564,0.9998
312,0,6850,2172.5,1810.0638977635783,0.9996
313,3,1150,2184.0,1807.9617834394905,0.9994000000000001
314,3,100,2188.0,1802.5396825396826,0.9992000000000001
315,2,100,2183.0,1797.1518987341772,0.9990000000000001
316,3,150,2177.0,1791.955835962145,0.9988000000000001
317,0,6150,2174.0,1805.6603773584907,0.9986000000000002
318,3,600,2110.0,1801.8808777429467,0.9984000000000002
319,2,700,2045.5,1798.4375,0.9982000000000002
320,3,250,2046.0,1793.613707165109,0.9980000000000002
321,1,650,2051.5,1790.0621118012423,0.9978000000000002
322,0,6950,2100.0,1806.0371517027863,0.9976000000000003
323,1,800,2101.5,1802.932098765432,0.9974000000000003
324,2,200,2096.5,1798.0,0.9972000000000003
325,3,300,2089.0,1793.4049079754602,0.9970000000000003
326,2,-500,2086.5,1786.3914373088685,0.9968000000000004
327,3,200,2014.5,1781.5548780487804,0.9966000000000004
328,2,600,1946.5,1777.9635258358662,0.9964000000000004
329,3,0,1944.5,1772.5757575757575,0.9962000000000004
330,2,800,1948.0,1769.6374622356495,0.9960000000000004
331,2,650,1957.5,1766.2650602409637,0.9958000000000005
332,2,550,1953.5,1762.6126126126126,0.9956000000000005
333,2,500,1952.0,1758.8323353293413,0.9954000000000005
334,0,6750,2029.0,1773.7313432835822,0.9952000000000005
335,1,450,2031.5,1769.7916666666667,0.9950000000000006
336,1,1100,1972.0,1767.8041543026707,0.9948000000000006
337,2,700,1969.0,1764.6449704142012,0.9946000000000006
338,3,350,1960.5,1760.47197640118,0.9944000000000006
339,2,450,1956.0,1756.6176470588234,0.9942000000000006
340,3,950,1898.0,1754.2521994134897,0.9940000000000007
341,0,6400,1957.5,1767.8362573099416,0.9938000000000007
342,0,6750,2027.0,1782.3615160349855,0.9936000000000007
343,0,6600,2087.0,1796.3662790697674,0.9934000000000007
344,0,6950,2153.5,1811.304347826087,0.9932000000000007
345,3,950,2164.0,1808.8150289017342,0.9930000000000008
346,2,850,2169.0,1806.0518731988473,0.9928000000000008
347,1,750,2169.0,1803.0172413793102,0.9926000000000008
348,0,6350,2232.5,1816.0458452722064,0.9924000000000008
349,2,500,2233.0,1812.2857142857142,0.9922000000000009
350,2,550,2231.0,1808.6894586894587,0.9920000000000009
351,2,650,2229.0,1805.3977272727273,0.9918000000000009
352,1,0,2161.5,1800.2832861189802,0.9916000000000009
353,1,850,2098.5,1797.5988700564972,0.991400000000001
354,0,6700,2163.0,1811.4084507042253,0.991200000000001
355,0,7200,2165.5,1826.5449438202247,0.991000000000001
356,0,6750,2229.5,1840.3361344537816,0.990800000000001
357,0,6700,2227.0,1853.9106145251396,0.990600000000001
358,3,50,2227.5,1848.8857938718663,0.9904000000000011
359,2,-450,2212.5,1842.5,0.9902000000000011
360,3,1500,2222.0,1841.551246537396,0.9900000000000011
361,1,1050,2173.0,1839.364640883978,0.9898000000000011
362,0,7200,2242.5,1854.1322314049587,0.9896000000000011
363,1,550,2233.0,1850.5494505494505,0.9894000000000012
364,0,6950,2309.0,1864.5205479452054,0.9892000000000012
365,0,6850,2309.0,1878.1420765027322,0.9890000000000012
366,0,7250,2382.0,1892.7792915531336,0.9888000000000012
367,3,-350,2311.5,1886.6847826086957,0.9886000000000013
368,3,-300,2296.0,1880.7588075880758,0.9884000000000013
369,1,750,2302.5,1877.7027027027027,0.9882000000000013
370,0,5800,2289.5,1888.2749326145552,0.9880000000000013
371,1,800,2236.0,1885.3494623655913,0.9878000000000013
372,2,150,2167.5,1880.6970509383377,0.9876000000000014
373,2,1100,2178.5,1878.609625668449,0.9874000000000014
374,3,1100,2179.5,1876.5333333333333,0.9872000000000014
375,1,750,2181.0,1873.537234042553,0.9870000000000014
376,0,6500,2178.5,1885.8090185676392,0.9868000000000015
377,2,0,2185.0,1880.8201058201057,0.9866000000000015
378,0,6400,2251.0,1892.7440633245383,0.9864000000000015
379,0,7200,2315.0,1906.7105263157894,0.9862000000000015
380,3,550,2317.0,1903.1496062992126,0.9860000000000015
381,1,700,2326.0,1900.0,0.9858000000000016
382,1,-900,2245.5,1892.6892950391646,0.9856000000000016
383,3,950,2239.0,1890.234375,0.9854000000000016
384,1,500,2235.5,1886.6233766233765,0.9852000000000016
385,2,-50,2233.0,1881.6062176165804,0.9850000000000017
386,3,1050,2232.0,1879.4573643410852,0.9848000000000017
387,0,6050,2292.0,1890.2061855670104,0.9846000000000017
388,1,-1050,2279.5,1882.6478149100258,0.9844000000000017
389,1,500,2282.5,1879.1025641025642,0.9842000000000017
390,2,1000,2282.0,1876.854219948849,0.9840000000000018
391,3,-200,2287.5,1871.5561224489795,0.9838000000000018
392,1,700,2292.5,1868.5750636132316,0.9836000000000018
393,1,150,2236.0,1864.2131979695432,0.9834000000000018
394,0,6900,2296.5,1876.9620253164558,0.9832000000000019
395,1,150,2291.5,1872.6010101010102,0.9830000000000019
396,0,6900,2352.0,1885.264483627204,0.9828000000000019
397,2,700,2354.0,1882.286432160804,0.9826000000000019
398,2,-200,2349.0,1877.0676691729323,0.9824000000000019
399,0,7050,2353.5,1890.0,0.982200000000002
400,0,6650,2412.5,1901.8703241895262,0.982000000000002
401,1,0,2408.5,1897.1393034825871,0.981800000000002
402,1,750,2413.5,1894.2928039702233,0.981600000000002
403,1,250,2349.0,1890.2227722772277,0.981400000000002
404,0,7000,2351.0,1902.8395061728395,0.9812000000000021
405,0,7200,2421.5,1915.8866995073893,0.9810000000000021
406,1,950,2420.0,1913.5135135135135,0.9808000000000021
407,2,500,2420.0,1910.049019607843,0.9806000000000021
408,3,750,2359.5,1907.2127139364304,0.9804000000000022
409,3,50,2348.0,1902.6829268292684,0.9802000000000022
410,0,6350,2339.5,1913.5036496350365,0.9800000000000022
411,2,1300,2280.5,1912.014563106796,0.9798000000000022
412,0,6600,2278.0,1923.365617433414,0.9796000000000022
413,3,-200,2264.5,1918.2367149758454,0.9794000000000023
414,0,6150,2325.0,1928.433734939759,0.9792000000000023
415,2,-50,2323.5,1923.6778846153845,0.9790000000000023
416,1,850,2330.5,1921.1031175059952,0.9788000000000023
417,3,750,2276.5,1918.3014354066986,0.9786000000000024
418,3,250,2273.0,1914.3198090692124,0.9784000000000024
419,0,6350,2329.5,1924.8809523809523,0.9782000000000024
420,0,6950,2396.5,1936.8171021377673,0.9780000000000024
421,1,-600,2384.0,1930.8056872037914,0.9778000000000024
422,2,800,2322.5,1928.1323877068558,0.9776000000000025
423,1,700,2321.5,1925.2358490566037,0.9774000000000025
424,1,50,2320.0,1920.8235294117646,0.9772000000000025
425,2,1250,2329.5,1919.24882629108,0.9770000000000025
426,0,6900,2403.5,1930.9133489461358,0.9768000000000026
427,2,850,2410.0,1928.3878504672898,0.9766000000000026
428,0,7350,2477.5,1941.025641025641,0.9764000000000026
429,1,150,2479.0,1936.860465116279,0.9762000000000026
430,1,500,2476.0,1933.5266821345708,0.9760000000000026
431,1,1700,2486.5,1932.986111111111,0.9758000000000027
432,2,750,2488.5,1930.2540415704389,0.9756000000000027
433,3,400,2487.5,1926.7281105990783,0.9754000000000027
434,2,1250,2432.5,1925.1724137931035,0.9752000000000027
435,1,1550,2443.5,1924.3119266055046,0.9750000000000028
436,2,-150,2431.0,1919.5652173913043,0.9748000000000028
437,1,750,2431.5,1916.8949771689497,0.9746000000000028
438,3,1500,2443.0,1915.9453302961276,0.9744000000000028
439,3,1300,2451.5,1914.5454545454545,0.9742000000000028
440,2,850,2450.5,1912.1315192743764,0.9740000000000029
441,0,6800,2454.5,1923.1900452488687,0.9738000000000029
442,1,850,2395.5,1920.7674943566592,0.9736000000000029
443,1,300,2332.5,1917.117117117117,0.9734000000000029
444,1,1250,2275.5,1915.6179775280898,0.973200000000003
445,1,250,2268.5,1911.8834080717488,0.973000000000003
446,3,450,2264.5,1908.6129753914988,0.972800000000003
447,1,50,2257.5,1904.4642857142858,0.972600000000003
448,3,150,2195.5,1900.5567928730513,0.972400000000003
449,3,800,2198.5,1898.111111111111,0.9722000000000031
450,1,-150,2191.5,1893.569844789357,0.9720000000000031
451,1,500,2190.0,1890.486725663717,0.9718000000000031
452,3,300,2193.0,1886.9757174392937,0.9716000000000031
453,1,350,2188.0,1883.590308370044,0.9714000000000031
